啊|/ā/|ah
只好|/zhǐhǎo/|I had no choice
纸巾|/zhǐjīn/|tissue
质量|/zhìliàng/|quality
至少|/zhìshǎo/|At least
中餐|/zhōngcān/|Chinese food
中年|/zhōngnián/|middle aged
种|/zhòng/|kind
重|/zhòng/|Heavy
重点|/zhòngdiǎn/|Key Points
重视|/zhòngshì/|Pay attention to
周围|/zhōuwéi/|around
主意|/zhǔyi/|idea
祝|/zhù/|wish
祝贺|/zhùhè/|congratulate
著名|/zhùmíng/|Famous
专门|/zhuānmén/|specialized
专业|/zhuānyè/|major
转|/zhuǎn/|change
转发|/zhuǎnfā/|Forward
转机|/zhuǎnjī/|Turning point
赚|/zhuàn/|earn
装|/zhuāng/|Pack
准|/zhǔn/|allow
准确|/zhǔnquè/|precise
准时|/zhǔnshí/|on time
资料|/zīliào/|material
仔细|/zǐxì/|carefulness
自|/zì/|since
自然|/zìrán/|nature
自习|/zìxí/|Self-study
自信|/zìxìn/|confidence
自学|/zìxué/|Self-study
总结|/zǒngjié/|Summarize
租|/zū/|rent
组|/zǔ/|Group
最终|/zuìzhōng/|final
尊重|/zūnzhòng/|respect
左右|/zuǒyòu/|about
座|/zuò/|seat
做法|/zuòfǎ/|practice
作家|/zuòjiā/|writer
做梦|/zuòmèng/|dream
作品|/zuòpǐn/|work
作为|/zuòwéi/|As
座位|/zuòwèi/|seat
作文|/zuòwén/|composition
作用|/zuòyòng/|effect
作者|/zuòzhě/|author







































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































