安心|/ān xīn/|Peace of mind
转变|/zhuǎnbiàn/|change
状况|/zhuàng kuàng/|situation
状态|/zhuàngtài/|state
追|/zhuī/|Chase
准|/zhǔn/|allow
资格|/zīgé/|qualifications
资金|/zījīn/|funds
子女|/zǐnǚ/|child
自从|/zìcóng/|since
自动|/zìdòng/|automatic
自觉|/zìjué/|conscious
自然|/zìrán/|nature
自身|/zìshēn/|itself
自主|/zìzhǔ/|Autonomy
总|/zǒng/|total
总结|/zǒngjié/|Summarize
总是|/zǒngshì/|always
足够|/zúgòu/|enough
足球|/zúqiú/|football
组合|/zǔhé/|combination
左右|/zuǒyòu/|about
作品|/zuòpǐn/|work
作者|/zuòzhě/|author
做客|/zuòkè/|Visiting




























